Instance;RealSolution;Execution;InitialMethod;NumGroupsTEC;TimeTEC;GapTEC;NumGroupsTT;TimeTT;GapTT;TimeTT_TEC;GapTT_TEC;InitialCostFunctions;Algorithm;RunTimeSec;Hipervolume;NumParetoSolutions;CostFunctions;Solutions
instance6_59;332.47 406947.68;0;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;885;0.9128;10;1268.05 395387.2|1273.16 395313.54|1284.94 395120.89|1406.73 395001.58|1032.91 395466.46|1279.61 395194.55|105.93 397502.87|100.9 397664.9|285.27 397226|310.28 397106.69;42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,28,40,27,18,13,14,16,43,15,21,34,37,30,35,29,0,17,39,19,22,25,20,23,36,41,31,1,2|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|42,44,46,47,45,10,6,9,11,7,8,4,5,3,48,55,58,51,52,50,49,54,53,56,57,12,38,32,33,26,14,27,18,16,13,43,15,21,37,34,35,30,29,40,28,24,39,19,22,25,20,23,36,31,41,0,17,1,2|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,14,18,13,27,16,43,15,21,30,37,35,34,29,40,28,24,39,19,22,25,20,23,36,41,31,0,17,1,2|3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,2,37,35,29,13,16,27,43,14,30,34,19,22,20,38,33,26,32,24,39,25,23,36,41,31,40,28,46,47,45,42,44,48,55,58,51,52,49,50,54,53,56,57|3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,2,13,16,27,43,14,19,22,20,38,33,26,32,24,39,25,23,36,41,31,28,40,34,35,37,30,29,46,47,45,42,44,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,16,43,27,14,13,19,22,39,38,33,32,26,24,25,20,23,36,41,31,1,2,29,37,34,35,30,40,28,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,19,22,20,33,38,24,26,39,32,18,15,21,0,16,27,14,13,43,17,1,2,35,37,29,30,34,25,23,36,31,41,28,40,48,55,58,51,52,49,50,54,53,56,57
instance6_59;332.47 406947.68;1;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;893;0.8574;11;310.28 397106.69|108.98 397576.53|1406.73 395001.58|1284.94 395120.89|1273.16 395313.54|1279.7 395194.55|285.27 397226|1279.7 395194.55|1268.05 395387.2|289.09 397190.69|100.9 397664.9;42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,19,22,20,33,38,24,26,39,32,18,15,21,0,16,27,14,13,43,17,1,2,30,34,35,37,29,25,23,36,31,41,28,40,48,55,58,51,52,49,50,54,53,56,57|3,10,6,9,11,7,8,4,5,12,19,22,20,18,15,21,0,17,1,2,13,16,27,43,14,30,34,35,37,29,32,25,38,33,26,24,39,23,36,41,31,40,28,42,47,44,46,45,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,40,28,18,13,14,16,27,43,15,21,37,35,30,34,29,0,17,39,19,22,25,20,23,36,31,41,1,2|42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,43,16,27,14,13,19,22,32,38,33,26,24,39,25,20,23,36,41,31,1,2,34,35,30,37,29,40,28,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,40,28,18,13,14,16,27,43,15,21,35,37,34,29,30,0,17,39,19,22,25,20,23,36,31,41,1,2|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,40,28,18,13,14,16,27,43,15,21,35,37,34,29,30,0,17,39,19,22,25,20,23,36,31,41,1,2|42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,18,15,21,0,13,43,16,27,14,19,22,20,32,39,38,33,26,24,25,23,36,41,31,28,40,17,1,2,35,30,37,29,34,48,55,58,51,52,49,50,54,53,56,57|3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,2,43,13,16,27,14,19,22,20,32,39,38,33,26,24,25,23,36,41,31,28,40,35,30,37,29,34,42,47,44,46,45,48,55,58,51,52,49,50,54,53,56,57
instance6_59;332.47 406947.68;2;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;885;0.8566;10;108.98 397576.53|1406.73 395001.58|1273.16 395313.54|1284.94 395120.89|1268.05 395387.2|310.8 397106.69|100.9 397664.9|1279.61 395194.55|299.34 397264.35|298.51 397299.66;3,10,6,9,11,7,8,4,5,12,19,22,20,18,15,21,0,17,1,2,30,27,13,14,16,43,29,34,35,37,32,38,33,26,24,39,25,23,36,41,31,40,28,42,47,44,46,45,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,39,28,40,13,14,16,27,18,43,15,37,35,30,34,29,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,28,40,13,14,16,27,18,43,15,37,35,30,34,29,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,28,40,13,14,16,27,18,43,15,21,35,37,34,29,30,0,17,39,19,22,25,20,23,36,31,41,1,2|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,19,22,20,33,38,32,26,24,18,15,21,0,16,43,27,13,14,17,1,2,34,35,37,30,29,39,25,23,36,41,31,40,28,48,55,58,51,52,49,50,54,53,56,57|3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,2,27,13,43,16,14,19,22,20,23,32,33,26,38,24,39,25,36,41,31,28,40,35,30,34,29,37,42,45,47,44,46,55,48,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,27,16,13,18,14,43,15,21,30,35,37,34,29,40,28,24,39,19,22,25,20,23,36,41,31,0,17,1,2|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,19,22,18,15,21,0,17,16,27,13,14,43,38,32,33,26,24,39,25,20,23,36,41,31,40,28,1,2,35,30,34,29,37,48,55,58,51,52,49,50,54,53,56,57|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,19,22,18,15,21,0,17,16,27,13,14,43,38,32,33,26,24,39,25,20,23,36,41,31,1,2,37,35,30,34,29,40,28,48,55,58,51,52,49,50,54,53,56,57
instance6_59;332.47 406947.68;3;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;885;0.859;10;310.28 397106.69|1406.73 395001.58|1279.61 395194.55|1273.16 395313.54|1284.94 395120.89|1268.05 395387.2|285.27 397226|286.1 397190.69|105.93 397502.87|100.9 397664.9;42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,19,22,20,33,38,24,26,39,32,18,15,21,0,16,27,14,13,43,17,1,2,30,34,35,37,29,25,23,36,31,41,28,40,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,14,13,18,27,16,43,15,21,35,37,30,29,34,40,28,24,39,19,22,25,20,23,36,41,31,0,17,1,2|47,42,44,45,46,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|47,42,44,45,46,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|47,42,44,45,46,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,40,28,18,13,14,16,27,43,15,21,37,35,30,34,29,0,17,39,19,22,25,20,23,36,31,41,1,2|47,42,44,45,46,3,11,10,6,9,7,8,4,5,12,18,15,21,0,17,43,27,16,13,14,19,22,38,26,32,33,24,39,25,20,23,36,31,41,1,2,37,35,34,30,29,40,28,56,57,53,54,50,49,52,58,48,55,51|47,42,44,45,46,3,11,10,6,9,7,8,4,5,12,18,15,21,0,17,43,27,16,13,14,19,22,38,26,32,33,24,39,25,20,23,36,31,41,28,40,1,2,35,34,30,29,37,56,57,53,54,50,49,52,58,48,55,51|3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,2,16,13,43,27,30,29,37,35,34,14,19,22,20,26,38,32,33,24,39,25,23,36,41,31,40,28,47,46,44,45,42,48,55,58,51,50,49,52,54,53,56,57|3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,2,16,13,43,27,14,19,22,20,26,38,32,33,24,39,25,23,36,41,31,28,40,34,35,37,30,29,47,46,44,45,42,48,55,58,51,50,49,52,54,53,56,57
instance6_59;332.47 406947.68;4;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;885;0.8574;11;1273.16 395313.54|1406.73 395001.58|108.98 397576.53|1268.05 395387.2|310.28 397106.69|100.9 397664.9|1279.61 395194.55|1273.16 395313.54|1284.94 395120.89|286.1 397190.69|285.27 397226;42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|3,10,6,9,11,7,8,4,5,12,19,22,20,18,15,21,0,17,1,2,37,30,27,13,14,16,43,29,34,35,32,38,33,26,24,39,25,23,36,41,31,28,40,42,45,47,44,46,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,40,28,18,13,14,16,27,43,15,21,37,35,30,34,29,0,17,39,19,22,25,20,23,36,31,41,1,2|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,19,22,20,39,33,38,32,26,24,18,15,21,0,16,27,13,14,43,17,1,2,34,35,37,30,29,25,23,36,41,31,40,28,48,55,58,51,52,49,50,54,53,56,57|3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,2,43,16,27,13,14,19,22,20,38,33,26,24,32,39,25,23,36,31,41,28,40,29,37,35,30,34,42,47,44,46,45,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,27,18,13,14,16,43,15,21,35,37,30,29,34,40,28,24,39,19,22,25,20,23,36,31,41,0,17,1,2|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,29,30,35,37,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,29,30,35,37,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,14,43,16,27,13,19,22,32,38,33,26,24,39,25,20,23,36,31,41,28,40,1,2,29,37,35,30,34,48,55,58,51,52,49,50,54,53,56,57|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,14,43,16,27,13,19,22,32,38,33,26,24,39,25,20,23,36,31,41,1,2,29,37,35,30,34,40,28,48,55,58,51,52,49,50,54,53,56,57
instance6_59;332.47 406947.68;5;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;886;0.859;10;1406.73 395001.58|310.28 397106.69|285.27 397226|1284.94 395120.89|1273.16 395313.54|1268.05 395387.2|1279.61 395194.55|105.93 397502.87|100.9 397664.9|286.94 397190.69;42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,19,22,20,39,24,26,33,38,32,18,15,21,0,16,27,14,13,43,17,1,2,34,35,37,30,29,25,23,36,41,31,40,28,48,55,58,51,52,49,50,54,53,56,57|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,43,14,16,27,13,19,22,38,32,33,26,24,39,25,20,23,36,41,31,1,2,29,34,37,35,30,40,28,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,40,28,18,13,14,16,27,43,15,21,37,35,30,34,29,0,17,39,19,22,25,20,23,36,31,41,1,2|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,16,27,18,13,14,43,15,21,35,37,34,29,30,40,28,24,39,19,22,25,20,23,36,31,41,0,17,1,2|3,7,8,10,6,9,11,4,5,12,18,15,21,0,17,1,2,34,29,35,30,37,27,16,13,43,14,19,22,20,32,26,38,24,39,33,25,23,36,41,31,28,40,45,47,42,44,46,55,48,58,51,52,49,50,54,53,56,57|3,7,8,10,6,9,11,4,5,12,18,15,21,0,17,1,2,27,16,13,43,14,19,22,20,32,26,38,24,39,33,25,23,36,41,31,40,28,37,34,35,30,29,45,47,42,44,46,55,48,58,51,52,49,50,54,53,56,57|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,27,16,13,43,14,19,26,32,38,33,24,39,22,25,20,23,36,31,41,28,40,2,34,37,29,30,35,48,55,58,51,52,49,50,54,53,56,57
instance6_59;332.47 406947.68;6;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;885;0.8572;9;310.8 397106.69|108.98 397576.53|1284.94 395120.89|1273.16 395313.54|1268.05 395387.2|285.27 397226|1406.73 395001.58|1279.61 395194.55|100.9 397695.84;42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,19,22,20,33,38,32,26,24,18,15,21,0,16,43,27,13,14,17,1,2,34,35,37,30,29,39,25,23,36,41,31,40,28,48,55,58,51,52,49,50,54,53,56,57|3,8,10,6,9,11,7,5,4,12,19,22,20,18,15,21,0,17,1,2,37,30,27,13,14,16,43,29,34,35,33,32,38,26,24,39,25,23,36,41,31,40,28,42,47,44,46,45,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,40,28,18,13,14,16,27,43,15,21,37,35,30,34,29,0,17,39,19,22,25,20,23,36,31,41,1,2|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,43,13,27,16,14,19,22,33,26,38,32,24,39,25,20,23,36,41,31,1,2,29,37,35,34,30,40,28,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,58,48,49,51,52,50,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|42,44,45,46,47,49,50,58,48,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,18,27,16,14,13,43,15,21,30,35,34,37,29,40,28,24,39,19,22,25,20,23,36,31,41,0,17,1,2|3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,2,43,13,27,16,14,19,22,20,38,32,33,26,24,39,25,23,36,41,31,29,37,35,34,30,40,28,42,45,47,44,46,55,48,58,51,52,49,50,54,53,56,57
instance6_59;332.47 406947.68;7;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;885;0.8572;9;310.28 397106.69|1406.73 395001.58|1273.16 395313.54|1284.94 395120.89|1268.05 395387.2|100.9 397664.9|108.98 397576.53|1279.61 395194.55|285.27 397226;42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,19,22,20,33,38,24,26,39,32,18,15,21,0,16,27,14,13,43,17,1,2,30,34,35,37,29,25,23,36,31,41,28,40,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,38,32,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|42,44,45,46,47,3,50,48,49,51,52,53,54,58,55,56,57,10,6,9,11,7,8,4,5,12,38,32,33,26,24,39,40,28,18,13,14,16,27,43,15,37,34,29,30,35,21,0,17,1,2,19,22,25,20,23,36,41,31|42,44,45,46,47,50,48,49,51,52,53,54,58,55,56,57,10,6,9,11,7,8,4,5,3,12,38,32,33,26,24,39,40,28,18,13,14,16,27,43,15,37,34,29,30,35,21,0,17,1,2,19,22,25,20,23,36,41,31|42,44,45,46,47,3,50,48,49,51,52,53,54,58,55,56,57,10,6,9,11,7,8,4,5,12,38,32,33,26,24,40,28,18,13,14,16,27,43,15,21,34,37,30,35,29,0,17,39,19,22,25,20,23,36,41,31,1,2|3,8,7,10,6,9,11,4,5,12,18,15,21,0,17,1,2,43,16,27,13,14,19,22,20,25,23,32,38,33,26,24,39,36,41,31,40,28,35,34,37,30,29,45,44,42,47,46,55,48,58,51,52,49,50,54,53,56,57|3,10,6,9,11,7,8,4,5,12,19,22,20,18,15,21,0,17,1,2,14,16,27,43,13,37,34,29,30,35,32,38,33,26,24,25,39,23,36,41,31,28,40,42,47,44,46,45,58,51,52,48,55,49,50,54,53,56,57|42,44,45,46,47,50,48,49,51,52,53,54,58,55,56,57,10,6,9,11,7,8,4,5,3,12,38,32,33,26,18,16,27,13,14,43,15,21,34,37,30,35,29,40,28,24,39,19,22,25,20,23,36,41,31,0,17,1,2|42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,13,14,16,43,27,19,22,32,38,33,26,24,39,25,20,23,36,41,31,1,2,35,34,37,30,29,40,28,48,55,58,51,52,49,50,54,53,56,57
instance6_59;332.47 406947.68;8;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;885;0.9116;9;310.8 397106.69|1406.73 395001.58|1032.91 395466.46|108.98 397576.53|100.9 397664.9|286.1 397190.69|1272.92 395120.89|1261.3 395313.54|285.27 397226;42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,19,22,20,33,38,32,26,24,18,15,21,0,16,43,27,13,14,17,1,2,34,35,37,30,29,39,25,23,36,41,31,40,28,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|42,44,45,46,47,10,6,9,11,7,8,4,5,3,48,58,55,52,51,50,49,54,53,56,57,12,32,38,33,26,18,13,14,16,27,43,15,21,35,34,30,29,37,40,28,24,39,19,22,25,20,23,36,41,31,0,17,1,2|3,10,6,9,11,7,8,4,5,12,19,22,20,18,15,21,0,17,1,2,30,27,13,14,16,43,29,34,35,37,32,38,33,26,24,39,25,23,36,41,31,40,28,42,47,44,46,45,48,55,58,51,52,49,50,54,53,56,57|3,8,7,10,6,9,11,4,5,12,18,15,21,0,17,1,2,43,16,27,13,14,19,22,20,38,33,26,24,32,39,25,23,36,31,41,40,28,35,30,34,29,37,42,47,44,46,45,48,55,58,51,52,49,50,54,53,56,57|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,16,43,27,13,14,19,22,32,38,33,26,39,24,25,20,23,36,31,41,40,28,1,2,35,30,34,29,37,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,27,16,18,13,14,43,15,21,29,30,37,35,34,38,32,33,26,24,28,40,39,19,22,25,20,23,36,41,31,0,17,1,2|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,27,16,18,13,14,43,15,21,29,30,37,35,34,38,32,33,26,24,40,28,39,19,22,25,20,23,36,41,31,0,17,1,2|42,47,44,46,45,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,16,43,27,13,14,19,22,32,38,33,26,39,24,25,20,23,36,31,41,1,2,37,35,30,34,29,40,28,48,55,58,51,52,49,50,54,53,56,57
instance6_59;332.47 406947.68;9;MILP;8;0.583032608;0;13;2542.099714;0;909.2663746;0;1608.48 395001.58|138.87 403141;MOGVNS_FI;886;0.9114;13;310.28 397106.69|1284.94 395120.89|108.98 397576.53|1032.91 395466.46|1406.73 395001.58|1279.61 395194.55|286.94 397190.69|286.52 397226|100.9 397664.9|285.27 397383.66|1284.94 395120.89|1273.16 395313.54|1268.05 395387.2;42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,19,22,20,33,38,24,26,39,32,18,15,21,0,16,27,14,13,43,17,1,2,30,34,35,37,29,25,23,36,31,41,28,40,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|3,10,6,9,11,7,8,4,5,12,19,22,20,18,15,21,0,17,1,2,13,16,27,43,14,30,34,35,37,29,32,25,38,33,26,24,39,23,36,41,31,40,28,42,47,44,46,45,48,55,52,49,58,51,50,54,53,56,57|42,44,45,46,47,10,6,9,11,7,8,4,5,3,48,55,58,51,52,49,50,54,56,53,57,12,32,38,33,26,18,13,14,16,27,43,15,21,37,30,29,34,35,40,28,24,39,19,22,25,20,23,36,31,41,0,17,1,2|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,19,22,25,40,28,20,23,36,31,41,18,13,14,16,27,34,35,37,30,29,43,15,21,0,17,1,2|42,44,45,46,47,48,49,51,52,58,50,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,27,13,14,18,16,43,15,21,30,37,34,35,29,40,28,24,39,19,22,25,20,23,36,31,41,0,17,1,2|42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,43,27,14,13,16,19,32,38,33,26,24,39,22,25,20,23,36,41,31,40,28,2,29,34,35,30,37,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,1,43,27,14,13,16,19,32,38,33,26,24,39,22,25,20,23,36,41,31,2,37,29,34,35,30,40,28,48,55,58,51,52,49,50,54,53,56,57|3,8,10,6,9,11,7,5,4,12,18,15,21,0,17,1,2,43,14,13,27,16,19,22,20,33,38,26,32,24,39,25,23,36,41,31,28,40,37,29,34,35,30,47,42,44,46,45,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,3,10,6,9,11,7,8,4,5,12,18,15,21,0,17,43,14,13,27,16,19,22,38,32,33,26,39,24,25,20,23,36,31,41,1,2,28,40,29,34,35,30,37,48,55,58,51,52,49,50,54,53,56,57|42,44,45,46,47,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,3,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,39,40,28,18,13,14,16,27,43,15,35,37,29,30,34,21,0,17,1,2,19,22,25,20,23,36,31,41|42,44,45,46,47,3,50,58,48,49,51,52,53,54,55,56,57,10,6,9,11,7,8,4,5,12,32,38,33,26,24,40,28,18,13,14,16,27,43,15,21,37,35,30,34,29,0,17,39,19,22,25,20,23,36,31,41,1,2
