Instance;RealSolution;Execution;InitialMethod;NumGroupsTEC;TimeTEC;GapTEC;NumGroupsTT;TimeTT;GapTT;TimeTT_TEC;GapTT_TEC;InitialCostFunctions;Algorithm;RunTimeSec;Hipervolume;NumParetoSolutions;CostFunctions;Solutions
instance1_37;12.21 177242.8;0;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;555;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
instance1_37;12.21 177242.8;1;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;555;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
instance1_37;12.21 177242.8;2;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;555;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
instance1_37;12.21 177242.8;3;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;555;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
instance1_37;12.21 177242.8;4;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;555;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
instance1_37;12.21 177242.8;5;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;555;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
instance1_37;12.21 177242.8;6;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;555;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
instance1_37;12.21 177242.8;7;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;555;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
instance1_37;12.21 177242.8;8;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;556;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
instance1_37;12.21 177242.8;9;MILP;6;0.203407288;0;8;0.025930405;0;0.946580887;0;11.85 165234.17|0 167502.09;MOGVNS_FI;555;0.9528;3;0 167502.09|9.29 165767.6|10.51 165234.17;6,2,3,0,4,5,7,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,8,11,12,9,10,28,29,30,31,32,34,35,36|28,29,30,31,32,34,35,36,3,2,7,0,4,5,6,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10|28,29,30,31,32,34,35,36,6,3,2,7,0,4,5,14,13,1,8,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,33,9,10
